Subject,Property,Object
Brush Holder,rdf:type,Decorative art object
Brush Holder,dcterms:creator,Imperial workshop
Brush Holder,dcterms:created,1736-1795
Brush Holder,dcterms:temporal,Qianlong Period
Brush Holder,crm:P43_has_dimension,Height approximately 10-15 cm
Brush Holder,crm:P45_consists_of,Jade
Brush Holder,crm:P12i_was_present_at,Second Opium War
Brush Holder,edm:formerLocation,Yuan Ming Yuan
Brush Holder,edm:currentLocation,Metropolitan Museum of Art
Brush Holder,crm:P24_transferred_title_from,F.O. Matthiessen
Brush Holder,dcterms:relation,Jewelry
Brush Holder,dcterms:relation,Longevity Mountain (Carving)
Brush Holder,edm:isShownAt,https://www.metmuseum.org/art/collection/
Brush Holder,crm:P53_has_former_or_current_location,http://sws.geonames.org/1816670/
Brush Holder,dcterms:subject,http://id.loc.gov/authorities/subjects/sh85069821
