Subject,Property,Object
Throne,rdf:type,Furniture
Throne,dcterms:creator,Imperial workshop
Throne,dcterms:created,1775-1780
Throne,dcterms:temporal,Qianlong Period
Throne,crm:P45_consists_of,Wood
Throne,crm:P45_consists_of,Carved polychrome lacquer
Throne,crm:P24_transferred_title_from,Russian Troops
Throne,crm:P12i_was_present_at,Boxer Rebellion
Throne,edm:currentLocation,Victoria & Albert Museum
Throne,edm:formerLocation,Yuan Ming Yuan
Throne,dcterms:relation,Admonitions Scroll
Throne,dcterms:relation,Summer Palace Grounds Photograph
Throne,dcterms:relation,Boxer Protocol
Throne,owl:sameAs,http://www.wikidata.org/entity/Q28738923
Throne,edm:isShownAt,https://collections.vam.ac.uk/item/O73633/throne/
Throne,crm:P53_has_former_or_current_location,http://sws.geonames.org/1816670/
